system	current_count	v15_count	delta
ABCC1	0	2	2
ABO	202	207	5
ATP11C	0	2	2
AUG	3	5	2
CD36	0	23	23
CD59	4	8	4
CH_RG	0	14	14
CO	9	11	2
CROM	18	24	6
CTL2	0	5	5
DI	21	25	4
DO	15	24	9
EMM	0	9	9
ER	0	7	7
FORS	5	6	1
FUT2	2	0	-2
FY	24	32	8
GATA1	2	2	0
GE	9	21	12
GIL	2	3	1
GLOB	14	15	1
GYPA	18	24	6
GYPB	12	38	26
H	56	122	66
I	11	14	3
IN	5	6	1
JK	31	81	50
JMH	6	8	2
JR	29	38	9
KANNO	0	2	2
KEL	73	129	56
KLF1	74	73	-1
KN	7	11	4
LAN	42	47	5
LE	52	62	10
LU	26	37	11
LW	3	6	3
MAL	0	2	2
MAM	0	6	6
MNS_HYBRID	0	44	44
OK	4	4	0
P1PK	38	43	5
PEL	0	5	5
RAPH	4	5	1
RHAG	32	48	16
RHC	2	0	-2
RHCE	0	186	186
RHD	369	447	78
RHE	2	0	-2
SC	8	10	2
SID	0	5	5
VEL	4	7	3
XG	2	8	6
XK	25	68	43
YT	2	5	3
